City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-15.72,51,92,10.0,RU,1706935968
1,yellowknife,62.456,-114.3525,-12.71,92,100,4.12,CA,1706935969
2,port-aux-francais,-49.35,70.2167,7.29,87,38,5.08,TF,1706935969
3,albany,42.6001,-73.9662,-0.51,79,82,0.89,US,1706935715
4,emerald,-23.5333,148.1667,35.75,39,5,5.63,AU,1706935969
5,waitangi,-43.9535,-176.5597,16.57,94,100,2.68,NZ,1706935969
6,korla,41.7597,86.1469,-2.98,74,53,1.1,CN,1706935969
7,kununurra,-15.7667,128.7333,36.99,44,51,4.12,AU,1706935969
8,vila velha,-20.3297,-40.2925,24.97,96,75,1.79,BR,1706935969
9,adamstown,-25.066,-130.1015,24.67,83,42,3.63,PN,1706935970
10,port alfred,-33.5906,26.891,23.53,86,91,3.59,ZA,1706935970
11,blackmans bay,-43.0167,147.3167,28.07,37,2,5.07,AU,1706935970
12,bethel,41.3712,-73.414,2.19,68,0,3.6,US,1706935970
13,vernon,50.2581,-119.2691,5.97,95,100,2.06,CA,1706935970
14,burley,42.5357,-113.7928,3.5,83,0,6.69,US,1706935970
15,avarua,-21.2078,-159.775,25.03,94,100,2.06,CK,1706935970
16,lompoc,34.6391,-120.4579,11.55,79,20,2.68,US,1706935970
17,ribeira grande,38.5167,-28.7,17.1,86,15,4.92,PT,1706935971
18,hobyo,5.3505,48.5268,26.59,72,92,6.95,SO,1706935971
19,kristiansund,63.1115,7.732,4.36,65,75,11.83,NO,1706935881
20,hamilton,39.1834,-84.5333,1.24,86,0,3.09,US,1706935971
21,west island,-12.1568,96.8225,29.99,74,40,4.63,CC,1706935971
22,ta`u,-14.2336,-169.5144,27.51,86,100,10.76,AS,1706935971
23,ciudad lazaro cardenas,17.9583,-102.2,23.66,81,5,1.68,MX,1706935971
24,grytviken,-54.2811,-36.5092,8.03,90,100,6.11,GS,1706935971
25,punta arenas,-53.15,-70.9167,5.06,81,75,5.14,CL,1706935972
26,mandalgovi,45.7625,106.2708,-12.52,69,0,2.84,MN,1706935972
27,bengkulu,-3.8004,102.2655,24.51,93,100,4.13,ID,1706935758
28,toliara,-23.35,43.6667,28.75,58,22,4.12,MG,1706935972
29,cill airne,52.05,-9.5167,11.35,99,100,2.04,IE,1706935972
30,taroa,8.7058,171.2275,26.85,85,78,9.42,MH,1706935972
31,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1706935972
32,port macquarie,-31.4333,152.9167,25.5,66,99,3.93,AU,1706935972
33,jamestown,42.097,-79.2353,0.77,92,100,3.09,US,1706935972
34,aasiaat,68.7098,-52.8699,-27.12,97,100,2.28,GL,1706935973
35,bredasdorp,-34.5322,20.0403,21.57,84,94,2.34,ZA,1706935973
